FILEID	STUSAB	SUMLEV	GEOVAR	GEOCOMP	CHARITER	CIFSN	LOGRECNO	GEOID	GEOCODE	REGION	DIVISION	STATE	STATENS	COUNTY	COUNTYCC	COUNTYNS	COUSUB	COUSUBCC	COUSUBNS	SUBMCD	SUBMCDCC	SUBMCDNS	ESTATE	ESTATECC	ESTATENS	CONCIT	CONCITCC	CONCITNS	PLACE	PLACECC	PLACENS	TRACT	BLKGRP	BLOCK	AIANHH	AIHHTLI	AIANHHFP	AIANHHCC	AIANHHNS	AITS	AITSFP	AITSCC	AITSNS	TTRACT	TBLKGRP	ANRC	ANRCCC	ANRCNS	CBSA	MEMI	CSA	METDIV	NECTA	NMEMI	CNECTA	NECTADIV	CBSAPCI	NECTAPCI	UA	UATYPE	UR	CD116	CD118	CD119	CD120	CD121	SLDU18	SLDU22	SLDU24	SLDU26	SLDU28	SLDL18	SLDL22	SLDL24	SLDL26	SLDL28	VTD	VTDI	ZCTA	SDELM	SDSEC	SDUNI	PUMA	AREALAND	AREAWATR	BASENAME	NAME	FUNCSTAT	GCUNI	POP100	HU100	INTPTLAT	INTPTLON	LSADC	PARTFLAG	UGA	POP2020	WHITE	BLACK	HISPANIC	NON_HISPANIC	NATIVE	ASIAN	PACISL	OTHER	MULTINH	POP18_2020	WHITE18	BLACK18	HISP18	NON_HISP18	NATIVE18	ASIAN18	PACISL18	OTHER18	MULTINH18	GQPOP	GQINST20	GQPRIS20	GQJUV20	GQNUR20	GQOTHINST20	GQNONINST20	GQCOLL20	GQMILI20	GQOTHNONINST20	TOT_HOUSING	OCCUPIED	VACANT
PLST	GA	750	00	00	000	03	0196669	7500000US131210053002031	131210053002031	3	5	13	01705317	121	H1	01694833	90144	Z5	01936089							99999	99	99999999	04000	C1	02403126	005300	2	2031	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					036					059					00001E	A		99999	99999	00120		17401	0	2031	Block 2031	S		66	19	+33.7308377	-084.3743746	BK		99999	66	47	13	4	62	0	0	0	2	0	35	26	9	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	19	0
PLST	GA	750	00	00	000	03	0196670	7500000US131210053003000	131210053003000	3	5	13	01705317	121	H1	01694833	90144	Z5	01936089							99999	99	99999999	04000	C1	02403126	005300	3	3000	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					036					059					00001E	A		99999	99999	00120		11757	0	3000	Block 3000	S		33	9	+33.7292813	-084.3687024	BK		99999	33	21	3	5	28	1	0	0	2	1	26	16	1	5	21	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	9	9	0
PLST	GA	750	00	00	000	03	0196671	7500000US131210053003001	131210053003001	3	5	13	01705317	121	H1	01694833	90144	Z5	01936089							99999	99	99999999	04000	C1	02403126	005300	3	3001	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					036					059					00001E	A		99999	99999	00120		27944	0	3001	Block 3001	S		41	28	+33.7292706	-084.3697647	BK		99999	41	34	4	2	39	0	0	0	0	1	39	32	4	2	37	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	28	28	0
PLST	GA	750	00	00	000	03	0196672	7500000US131210053003002	131210053003002	3	5	13	01705317	121	H1	01694833	90144	Z5	01936089							99999	99	99999999	04000	C1	02403126	005300	3	3002	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					036					059					00001E	A		99999	99999	00120		29188	0	3002	Block 3002	S		42	30	+33.7297567	-084.3720868	BK		99999	42	28	4	5	37	1	3	0	1	0	36	27	4	3	33	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30	25	5
PLST	GA	750	00	00	000	03	0196673	7500000US131210053003003	131210053003003	3	5	13	01705317	121	H1	01694833	90144	Z5	01936089							99999	99	99999999	04000	C1	02403126	005300	3	3003	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					036					059					00001E	A		99999	99999	00120		18762	0	3003	Block 3003	S		45	20	+33.7296644	-084.3743897	BK		99999	45	32	6	2	43	0	4	0	0	1	42	31	6	2	40	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	20	20	0
PLST	GA	750	00	00	000	03	0196674	7500000US131210053003004	131210053003004	3	5	13	01705317	121	H1	01694833	90144	Z5	01936089							99999	99	99999999	04000	C1	02403126	005300	3	3004	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					036					059					00001E	A		99999	99999	00120		18932	0	3004	Block 3004	S		57	13	+33.7296899	-084.3758966	BK		99999	57	29	20	1	56	0	7	0	0	0	43	18	17	1	42	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	13	12	1
PLST	GA	750	00	00	000	03	0196675	7500000US131210053003005	131210053003005	3	5	13	01705317	121	H1	01694833	90144	Z5	01936089							99999	99	99999999	04000	C1	02403126	005300	3	3005	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					036					059					00001E	A		99999	99999	00120		23325	0	3005	Block 3005	S		61	36	+33.7297070	-084.3775851	BK		99999	61	52	8	1	60	0	0	0	0	0	51	42	8	1	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	36	0
PLST	GA	750	00	00	000	03	0196676	7500000US131210053003006	131210053003006	3	5	13	01705317	121	H1	01694833	90144	Z5	01936089							99999	99	99999999	04000	C1	02403126	005300	3	3006	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					036					059					00001E	A		99999	99999	00120		350509	0	3006	Block 3006	S		406	219	+33.7265962	-084.3746340	BK		99999	406	282	90	8	398	0	20	0	5	1	323	228	73	5	318	0	12	0	4	1	0	0	0	0	0	0	0	0	0	0	219	203	16
PLST	GA	750	00	00	000	03	0196677	7500000US131210053003007	131210053003007	3	5	13	01705317	121	H1	01694833	90144	Z5	01936089							99999	99	99999999	04000	C1	02403126	005300	3	3007	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					036					059					00001E	A		99999	99999	00120		30173	0	3007	Block 3007	S		71	36	+33.7279305	-084.3721076	BK		99999	71	36	21	7	64	1	6	0	0	0	56	27	18	5	51	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	36	32	4
PLST	GA	750	00	00	000	03	0196678	7500000US131210053003008	131210053003008	3	5	13	01705317	121	H1	01694833	90144	Z5	01936089							99999	99	99999999	04000	C1	02403126	005300	3	3008	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					036					059					00001E	A		99999	99999	00120		14660	0	3008	Block 3008	S		25	16	+33.7279279	-084.3697617	BK		99999	25	13	8	2	23	0	0	0	0	2	22	10	8	2	20	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	16	0
